name,url,city
36. Playas de Puerto Colombia,https://www.tripadvisor.co/Attraction_Review-g4454796-d4829434-Reviews-Playas_de_Puerto_Colombia-Puerto_Colombia_Atlantico_Department.html,Atlantico
37. Biblioteca Piloto del Caribe,https://www.tripadvisor.co/Attraction_Review-g297473-d6952308-Reviews-Biblioteca_Piloto_del_Caribe-Barranquilla_Atlantico_Department.html,Atlantico
38. Museo Romántico,https://www.tripadvisor.co/Attraction_Review-g297473-d3404873-Reviews-Museo_Romantico-Barranquilla_Atlantico_Department.html,Atlantico
39. Cementerio Universal,https://www.tripadvisor.co/Attraction_Review-g297473-d5043138-Reviews-Cementerio_Universal-Barranquilla_Atlantico_Department.html,Atlantico
40. Playa de Santa Verónica,https://www.tripadvisor.co/Attraction_Review-g7924399-d7920528-Reviews-Playas_de_Santa_Veronica-Juan_de_Acosta_Atlantico_Department.html,Atlantico
41. Estatua del Joe Arroyo,https://www.tripadvisor.co/Attraction_Review-g297473-d11847162-Reviews-Estatua_del_Joe_Arroyo-Barranquilla_Atlantico_Department.html,Atlantico
42. Centro Comercial Unico,https://www.tripadvisor.co/Attraction_Review-g297473-d8803471-Reviews-Centro_Comercial_Unico-Barranquilla_Atlantico_Department.html,Atlantico
43. Parque Bosques del Norte,https://www.tripadvisor.co/Attraction_Review-g297473-d8322047-Reviews-Parque_Bosques_del_Norte-Barranquilla_Atlantico_Department.html,Atlantico
44. Estación Montoya,https://www.tripadvisor.co/Attraction_Review-g297473-d7007406-Reviews-Estacion_Montoya-Barranquilla_Atlantico_Department.html,Atlantico
45. Centro Comercial Miramar,https://www.tripadvisor.co/Attraction_Review-g297473-d8686340-Reviews-Centro_Comercial_Miramar-Barranquilla_Atlantico_Department.html,Atlantico
46. Parroquia Nuestra Señora del Rosario,https://www.tripadvisor.co/Attraction_Review-g297473-d8671655-Reviews-Parroquia_Nuestra_Senora_del_Rosario-Barranquilla_Atlantico_Department.html,Atlantico
47. Parque Sagrado Corazón,https://www.tripadvisor.co/Attraction_Review-g297473-d7723540-Reviews-Parque_Sagrado_Corazon-Barranquilla_Atlantico_Department.html,Atlantico
48. Parque Washington,https://www.tripadvisor.co/Attraction_Review-g297473-d8587868-Reviews-Parque_Washington-Barranquilla_Atlantico_Department.html,Atlantico
49. Centro Recreacional Turipaná,https://www.tripadvisor.co/Attraction_Review-g7924360-d11965359-Reviews-Centro_Recreacional_Turipana-Tubara_Atlantico_Department.html,Atlantico
50. Gran Plaza del Sol,https://www.tripadvisor.co/Attraction_Review-g2440181-d7930987-Reviews-Gran_Plaza_del_Sol-Soledad_Atlantico_Department.html,Atlantico
51. Teatro Rex,https://www.tripadvisor.co/Attraction_Review-g297473-d8692481-Reviews-Teatro_Rex-Barranquilla_Atlantico_Department.html,Atlantico
52. Iglesia de las Tres Ave Marias,https://www.tripadvisor.co/Attraction_Review-g297473-d7723537-Reviews-Iglesia_de_las_Tres_Ave_Marias-Barranquilla_Atlantico_Department.html,Atlantico
